
52260303	
52260307	48 353 48 353 353 48 353 404 353 280 404 
52260312	420 280 367 420 285 186 
52260317	199 280 
52260323	7 
52260365	0 103 274 186 
52260367	351 155 
52260374	263 149 149 83 228 359 54 236 
52260408	52 112 72 0 214 52 52 264 434 10 52 434 0 52 355 355 
52260410	282 30 
52260424	75 
52260436	155 410 237 
52260449	409 34 420 434 420 188 194 
52260472	30 
52260473	341 278 
52260476	0 359 394 359 
52260479	0 103 274 186 
52260485	182 32 32 351 32 32 390 32 150 20 360 186 256 32 150 
52260490	16 
52260491	287 420 294 277 277 360 359 79 103 420 79 420 420 153 142 74 297 186 321 35 
52260509	16 
52260533	7 7 392 174 300 300 
52260558	
52260559	392 163 434 67 
52260570	319 434 319 84 
52260575	319 191 75 191 
52260593	0 228 228 55 55 321 55 9 
52260608	226 117 384 191 434 434 117 60 
52260651	126 422 29 
52260671	321 378 
52260684	
52260686	0 97 350 203 81 350 117 336 214 282 
52260695	261 261 
52260710	0 
52260712	281 144 408 420 
52260721	176 
52260727	161 394 359 271 271 271 353 271 378 116 174 78 271 298 140 346 271 
52260731	
52260740	300 434 
52260744	295 163 360 9 126 203 284 384 348 433 
52260811	
52260812	384 174 384 67 176 342 375 32 384 375 363 237 67 384 384 
52260819	351 155 25 
52260824	
52260825	116 396 182 
52260832	253 360 
52260840	319 191 75 
52260846	
52260858	395 433 280 433 280 338 
52260861	359 117 194 378 211 23 
52260865	268 429 251 233 208 268 429 103 
52260880	7 
52260903	253 
52260909	72 53 53 
52260919	7 7 
52260926	
52260933	430 
52260959	168 392 168 392 0 168 392 168 353 392 338 300 392 
52260989	
52260998	
52261002	190 276 32 432 190 190 190 190 164 164 191 190 208 414 176 
52261003	253 
52261004	323 
52261021	0 
52261026	
52261029	112 237 250 338 
52261035	155 410 237 
52261039	319 141 306 321 321 141 170 79 170 392 170 25 306 339 188 6 6 6 208 32 339 170 84 84 188 142 297 186 367 306 208 367 76 170 170 186 367 141 141 79 79 25 186 367 186 367 167 25 186 167 25 32 167 95 167 407 367 186 32 186 367 32 167 407 145 186 186 145 407 367 167 186 367 303 341 170 170 239 434 170 306 367 170 306 294 294 366 239 294 294 433 188 151 103 81 81 163 366 188 263 233 84 188 294 294 407 84 84 188 155 304 408 188 29 
52261045	53 
52261052	
52261057	253 392 315 155 
52261065	155 81 207 125 117 
52261067	274 319 343 13 274 359 8 388 0 81 13 
52261080	233 155 155 268 81 91 155 91 155 126 366 251 81 
52261086	
52261096	333 191 333 333 333 182 333 397 265 41 208 333 182 333 317 333 108 182 13 334 434 182 333 333 333 
52261115	434 434 191 394 433 
52261123	153 126 107 94 434 
52261124	294 
